,baseline,extended,value,rec,regime_adaptive,market
2026-02-24,100000,100000,100000,100000,100000,100000
2026-02-25,100000,100000,100000,100000,100000,101005
2026-02-26,100000,100000,100000,100000,100000,101959
2026-02-27,100000,100000,100000,100000,100000,102361
2026-03-02,100000,100000,100000,100000,100000,101142
2026-03-03,100000,100000,100000,100000,100000,97005
2026-03-04,100000,100000,100000,100000,100000,96537
2026-03-05,100000,100000,100000,100000,100000,97721
2026-03-06,100000,100000,100000,100000,100000,98941
2026-03-09,100000,100000,100000,100000,100000,97791
2026-03-10,100000,100000,100000,100000,100000,100445
2026-03-11,100000,100000,100000,100000,100000,100038
2026-03-12,100000,100000,100000,100000,100000,98958
2026-03-13,100000,100000,100000,100000,100000,97812
2026-03-16,100000,100000,100000,100000,100000,98282
2026-03-17,100000,100000,100000,100000,100000,95909
2026-03-18,100000,100000,100000,100000,100000,97530
2026-03-19,100000,100000,100000,100000,100000,95180
2026-03-20,100000,100000,100000,100000,100000,93650
2026-03-23,100000,100000,100000,100000,100000,88872
2026-03-24,100000,100000,100000,100000,100000,91627
2026-03-25,100000,100000,100000,100000,100000,93647
2026-03-26,100000,100000,100000,100000,100000,92140
2026-03-27,100000,100000,100000,100000,100000,93448
2026-03-30,100000,100000,100000,100000,100000,93679
2026-03-31,100000,100000,100000,100000,100000,91830
2026-04-01,98961,98956,99358,98967,99902,94231
2026-04-02,101071,99343,99119,98825,98776,92391
2026-04-03,100492,97088,97956,96936,96974,91472
2026-04-07,100836,98054,97325,97538,97484,92327
2026-04-08,100783,99150,98932,99101,100260,96873
2026-04-09,99078,97056,97699,98374,98848,96386
2026-04-10,97657,95964,97814,98274,99399,97466
2026-04-13,97633,94023,97493,96730,99430,97737
2026-04-14,97506,94726,98197,97141,99892,99302
2026-04-15,97397,96311,98651,97987,99993,99135
2026-04-16,97086,95752,98411,98038,100576,101056
2026-04-17,98258,95963,98158,98247,100423,101942
2026-04-20,97642,96080,97978,98222,101449,102663
2026-04-21,96724,95211,98277,98483,103098,102553
2026-04-22,96457,96282,98066,98184,102745,103898
2026-04-23,96305,96561,99221,98802,102361,102143
2026-04-24,95508,95408,98316,96436,101710,102264
2026-04-27,94681,94596,97825,95845,101203,103466
2026-04-28,95775,94171,97766,96133,101144,102241
2026-04-29,96278,95480,98494,97921,101968,103474
2026-04-30,94992,95380,97435,97504,100882,104664
2026-05-06,96167,95915,96960,97929,101145,106964
2026-05-07,96165,94247,96906,97029,101165,109244
2026-05-08,95601,93837,96736,97103,100840,109433
2026-05-11,96176,94121,96832,97338,101243,111576
2026-05-12,95923,94534,96359,98345,100219,111020
2026-05-13,96226,95083,96224,99812,100520,112788
2026-05-14,95386,93052,95935,97474,99229,110689
2026-05-15,95249,93204,95196,96969,98268,110264
2026-05-18,96014,92624,94451,95982,96939,110665
2026-05-19,97845,94055,94979,97035,97031,111765
2026-05-20,96452,92518,94332,95090,96377,112687
2026-05-21,94941,90862,93924,94752,95589,108694
2026-05-22,94718,91953,93704,94722,95783,111605
2026-05-25,95008,92662,93580,95631,95235,112847
2026-05-26,95069,92585,93823,95850,95156,110859
2026-05-27,95368,90982,93393,94635,94536,108722
2026-05-28,96310,90268,92759,93768,94987,109730
2026-05-29,95957,89576,94313,94876,94362,105567
2026-06-01,96366,90525,95534,95887,96836,103910
2026-06-02,97395,89465,95532,95463,96525,104544
2026-06-03,98611,89370,94599,94569,95712,105294
2026-06-04,98692,88248,93473,93797,94369,105487
2026-06-05,96371,85803,94429,93683,94358,104391
2026-06-08,94746,83843,93882,92996,93076,101035
2026-06-09,96116,84194,93904,93426,92912,103870
2026-06-10,94381,84429,94947,94665,92604,101940
2026-06-11,92464,83871,94499,94225,92299,101472
2026-06-12,91758,84826,95702,95144,93714,101629
2026-06-15,92124,84153,95354,93691,94744,105619
2026-06-16,93056,83849,94233,92929,93320,107304
2026-06-17,94153,83690,94025,93352,93684,108667
2026-06-18,94359,81552,91355,91016,91549,110082
2026-06-22,95291,85051,92016,94553,93341,111072
2026-06-23,94199,85001,92548,94728,92436,109387
2026-06-24,94808,85459,90340,94155,91420,110766
2026-06-25,95348,86942,89750,95626,92018,111188
2026-06-26,95758,84883,88378,92884,89839,108036
2026-06-29,94370,84453,88521,93491,90151,108419
2026-06-30,95636,84632,86991,93046,88241,111618
2026-07-01,96930,86578,88018,94624,89345,111594
2026-07-02,96462,85420,88967,94395,89506,107632
2026-07-03,95939,85454,89306,94514,89160,108086
2026-07-06,94976,84250,90845,95860,89078,106362
2026-07-07,95768,82395,89922,94240,87053,104132
2026-07-08,95547,81601,90421,93992,85922,102161
2026-07-09,95799,80457,89704,92934,84176,105380
2026-07-10,96410,80796,89996,92856,85096,103367
2026-07-13,96561,80397,90936,94083,83955,98148
2026-07-14,97273,81369,91808,95075,85470,100150
2026-07-15,100035,81850,93273,95952,86184,98374
2026-07-16,97524,80985,92488,94892,85841,95975
2026-07-17,94100,80276,92577,94778,83824,88761
2026-07-20,94346,82309,94054,96241,83068,85437
2026-07-21,94013,80706,92781,94742,83371,89788
2026-07-22,95879,81078,93351,95199,82412,88336
2026-07-23,95329,81421,93797,95803,84489,88360
2026-07-24,91030,79867,93259,94542,82678,86523
2026-07-27,94496,80611,93562,95195,84831,89304
2026-07-28,94952,80560,93882,95147,85189,85746
2026-07-29,93224,81520,94802,95802,85917,85794
2026-07-30,91287,82719,96605,97422,84422,82200
2026-07-31,90367,82008,96269,96597,86014,85088
