,baseline,extended,value,rec,market
2025-10-09,100000,100000,100000,100000,100000
2025-10-10,100000,100000,100000,100000,100061
2025-10-13,100000,100000,100000,100000,99869
2025-10-14,100000,100000,100000,100000,99680
2025-10-15,100000,100000,100000,100000,100716
2025-10-16,100000,100000,100000,100000,100334
2025-10-17,100000,100000,100000,100000,98366
2025-10-20,100000,100000,100000,100000,98746
2025-10-21,100000,100000,100000,100000,99732
2025-10-22,100000,100000,100000,100000,99273
2025-10-23,100000,100000,100000,100000,99468
2025-10-24,100000,100000,100000,100000,99367
2025-10-27,100000,100000,100000,100000,100016
2025-10-28,100000,100000,100000,100000,99854
2025-10-29,100000,100000,100000,100000,100548
2025-10-30,100000,100000,100000,100000,99844
2025-10-31,100000,100000,100000,100000,99833
2025-11-03,100000,100000,100000,100000,100197
2025-11-04,100000,100000,100000,100000,99539
2025-11-05,100000,100000,100000,100000,99803
2025-11-06,100000,100000,100000,100000,100396
2025-11-07,100000,100000,100000,100000,100388
2025-11-10,100000,100000,100000,100000,101397
2025-11-11,100000,100000,100000,100000,101302
2025-11-12,100000,100000,100000,100000,100989
2025-11-13,100000,100000,100000,100000,101855
2025-11-14,100213,99797,99913,99415,101151
2025-11-17,100478,99495,98997,98804,101182
2025-11-18,96497,97240,98269,97214,100057
2025-11-19,94605,97047,98405,97148,99606
2025-11-20,92399,95637,99053,96972,99004
2025-11-21,88962,93444,97176,95021,96384
2025-11-24,86960,93318,96779,94426,96999
2025-11-25,88522,93799,97479,95176,97651
2025-11-26,87823,93007,97212,94848,97452
2025-11-27,89235,93371,97543,95270,97528
2025-11-28,88813,93361,97164,94839,98206
2025-12-01,88332,93983,98288,95828,98790
2025-12-02,88119,94891,98611,96521,98274
2025-12-03,86416,94783,98272,96087,97753
2025-12-04,86249,94014,97872,95448,97226
2025-12-05,88144,94677,97228,95207,98379
2025-12-08,89005,94698,97265,94929,98517
2025-12-09,88820,94069,96731,94630,97870
2025-12-10,88861,94346,96369,94886,98155
2025-12-11,87503,92940,96202,93934,97275
2025-12-12,89142,92862,96115,93558,97703
2025-12-15,90294,93450,96203,94061,97854
2025-12-16,90897,92183,95796,93369,96697
2025-12-17,90969,92563,95999,93963,97488
2025-12-18,91843,92600,97250,94680,97593
2025-12-19,92664,92902,97309,94626,98540
2025-12-22,92919,92995,96629,93874,98967
2025-12-23,92206,92730,96761,94066,98450
2025-12-24,93355,93216,96832,94022,99184
2025-12-25,93619,93424,96871,93985,100102
2025-12-26,94999,93894,96687,94462,100410
2025-12-29,92684,91971,97328,93167,100019
2025-12-30,90723,92000,96960,92879,99693
2025-12-31,91316,91649,97024,92438,99842
2026-01-05,91039,91651,96972,92825,101320
2026-01-06,93196,93474,97506,93773,102861
2026-01-07,94593,93946,97362,93488,102990
2026-01-08,97220,94311,96814,93211,103324
2026-01-09,99994,95087,96717,93310,104520
2026-01-12,103337,95692,97189,93324,105903
2026-01-13,99797,93295,97403,91553,104811
2026-01-14,100785,93617,95860,91567,104597
2026-01-15,95355,92502,95458,91242,104393
2026-01-16,91397,90798,94611,89863,103730
2026-01-19,89961,90356,94362,91271,104790
2026-01-20,93130,91819,95484,92799,104756
2026-01-21,92723,91359,94522,92430,104803
2026-01-22,92016,91899,94635,93234,105283
2026-01-23,93897,92696,94063,93543,106192
2026-01-26,94006,93254,94057,94039,105746
2026-01-27,94712,91647,93419,92645,105342
2026-01-28,99070,95249,93624,94509,105679
2026-01-29,102039,97422,94923,95581,106921
2026-01-30,96994,95361,94318,94555,105347
2026-02-02,91337,90370,93497,91372,102888
2026-02-03,90850,91252,93357,91253,105135
2026-02-04,91581,92169,94719,92591,106437
2026-02-05,89017,92901,96146,94280,105990
2026-02-06,88255,92805,95789,94069,105336
2026-02-09,89723,93450,96242,94462,106649
2026-02-10,87798,92852,96375,94372,106461
2026-02-11,87686,93305,96719,95011,106661
2026-02-12,87982,93029,95845,94359,106404
2026-02-13,84872,91905,95161,93199,105281
2026-02-24,87979,92660,95443,93515,106699
2026-02-25,88399,93139,95113,94208,107932
2026-02-26,89938,92842,95036,94296,107811
2026-02-27,91167,93633,95394,95168,108727
