,baseline,extended,value,rec,mkt_filter,market
2025-10-09,100000,100000,100000,100000,100000,100000
2025-10-10,100000,100000,100000,100000,100000,98189
2025-10-13,100000,100000,100000,100000,100000,97942
2025-10-14,100000,100000,100000,100000,100000,95591
2025-10-15,100000,100000,100000,100000,100000,97136
2025-10-16,100000,100000,100000,100000,100000,96287
2025-10-17,100000,100000,100000,100000,100000,93457
2025-10-20,100000,100000,100000,100000,100000,94615
2025-10-21,100000,100000,100000,100000,100000,96356
2025-10-22,100000,100000,100000,100000,100000,95999
2025-10-23,100000,100000,100000,100000,100000,95874
2025-10-24,100000,100000,100000,100000,100000,97671
2025-10-27,100000,100000,100000,100000,100000,98882
2025-10-28,100000,100000,100000,100000,100000,98768
2025-10-29,100000,100000,100000,100000,100000,99441
2025-10-30,100000,100000,100000,100000,100000,98000
2025-10-31,100000,100000,100000,100000,100000,98218
2025-11-03,100000,100000,100000,100000,100000,98519
2025-11-04,100000,100000,100000,100000,100000,97175
2025-11-05,100000,100000,100000,100000,100000,97545
2025-11-06,100000,100000,100000,100000,100000,98795
2025-11-07,100000,100000,100000,100000,100000,98201
2025-11-10,100000,100000,100000,100000,100000,98456
2025-11-11,100000,100000,100000,100000,100000,98181
2025-11-12,100000,100000,100000,100000,100000,97717
2025-11-13,100000,100000,100000,100000,100000,98865
2025-11-14,100580,101172,100124,100591,100373,97781
2025-11-17,104961,101148,99429,101468,100313,97893
2025-11-18,100702,100259,98659,100449,99144,97110
2025-11-19,99494,100255,98994,99911,99719,96159
2025-11-20,97114,99455,99991,100397,98805,95309
2025-11-21,93586,96116,97957,97313,95155,91799
2025-11-24,93221,95773,97525,96541,94728,93257
2025-11-25,93390,96787,98452,97815,95641,94718
2025-11-26,90502,96314,97997,96825,95193,94789
2025-11-27,89637,96787,98138,97181,95336,95052
2025-11-28,88984,96802,97617,97225,94813,96110
2025-12-01,90483,97048,98587,97781,95747,96682
2025-12-02,90234,97243,98599,98406,95754,95744
2025-12-03,88806,97056,98256,98549,95418,94978
2025-12-04,87153,96466,98004,98352,95183,94792
2025-12-05,90683,96782,97462,98095,94660,96027
2025-12-08,93064,96856,97417,97868,94617,97572
2025-12-09,93117,96158,96491,97424,93745,97255
2025-12-10,91641,96583,96264,97643,93520,97449
2025-12-11,89053,95603,96272,96987,93519,96056
2025-12-12,89940,95046,96053,96961,92738,96934
2025-12-15,90315,95180,96425,97665,93259,95977
2025-12-16,89519,93294,95855,96660,91409,94362
2025-12-17,86829,92626,96031,97365,90884,95891
2025-12-18,88702,93098,97006,98513,91714,95571
2025-12-19,89883,93689,97157,98952,91858,96305
2025-12-22,89619,93021,96644,98560,91310,97417
2025-12-23,87467,92459,96604,99144,90619,97451
2025-12-24,89253,93192,96679,99488,90806,98757
2025-12-25,91331,93766,96919,99667,91222,99753
2025-12-26,92476,94307,96669,100398,92431,99591
2025-12-29,92430,92292,96788,97813,89515,99703
2025-12-30,90919,92209,96200,97465,88684,99752
2025-12-31,90577,91832,96245,97467,88623,99682
2026-01-05,89918,91340,96386,98051,88588,102085
2026-01-06,91564,92838,96937,99072,89758,103270
2026-01-07,91929,93235,96639,98681,90064,104164
2026-01-08,92903,93427,96242,98737,90051,104882
2026-01-09,93951,95344,96169,99822,92381,106509
2026-01-12,97166,96762,96406,100250,93635,108915
2026-01-13,95816,94665,96686,98210,91801,107041
2026-01-14,95469,94690,95455,97821,91798,108093
2026-01-15,92431,92925,94941,96457,89996,107904
2026-01-16,90126,90740,94232,94718,89073,108722
2026-01-19,89685,90971,94047,96639,91067,109195
2026-01-20,90945,92649,95287,98130,92897,107924
2026-01-21,90911,92178,94426,97470,92656,109372
2026-01-22,91731,91707,94584,97618,92258,109884
2026-01-23,93253,93382,94252,98766,93772,111472
2026-01-26,93186,92866,94745,98591,93995,109639
2026-01-27,93971,92254,93904,97310,93039,110542
2026-01-28,94563,95579,93936,99856,96635,109940
2026-01-29,96496,97483,95294,101260,99223,108374
2026-01-30,94882,96214,94536,99686,97379,108405
2026-02-02,93495,91339,93852,95755,92091,105262
2026-02-03,94751,92549,93611,95420,92087,108243
2026-02-04,92059,92930,94877,96703,93342,107978
2026-02-05,92900,92460,95794,98661,94254,106722
2026-02-06,94400,93487,95575,98416,94036,106654
2026-02-09,96161,94944,96023,98888,94480,109024
2026-02-10,95140,94169,96018,98454,93592,108987
2026-02-11,93700,94306,96296,99134,93911,108511
2026-02-12,91623,94238,95380,98634,94603,109385
2026-02-13,89155,92986,94796,97144,92644,108632
2026-02-24,90427,94887,95416,98102,94815,109311
2026-02-25,89903,95638,95276,98825,96034,110402
2026-02-26,90141,96617,95164,99106,96334,111411
2026-02-27,90010,98112,95559,101153,98182,111860
