,baseline,extended,value,rec,regime_adaptive,market
2025-10-09,100000,100000,100000,100000,100000,100000
2025-10-10,100000,100000,100000,100000,100000,100061
2025-10-13,100000,100000,100000,100000,100000,99869
2025-10-14,100000,100000,100000,100000,100000,99680
2025-10-15,100000,100000,100000,100000,100000,100716
2025-10-16,100000,100000,100000,100000,100000,100334
2025-10-17,100000,100000,100000,100000,100000,98366
2025-10-20,100000,100000,100000,100000,100000,98746
2025-10-21,100000,100000,100000,100000,100000,99732
2025-10-22,100000,100000,100000,100000,100000,99273
2025-10-23,100000,100000,100000,100000,100000,99468
2025-10-24,100000,100000,100000,100000,100000,99367
2025-10-27,100000,100000,100000,100000,100000,100016
2025-10-28,100000,100000,100000,100000,100000,99854
2025-10-29,100000,100000,100000,100000,100000,100548
2025-10-30,100000,100000,100000,100000,100000,99844
2025-10-31,100000,100000,100000,100000,100000,99833
2025-11-03,100000,100000,100000,100000,100000,100197
2025-11-04,100000,100000,100000,100000,100000,99539
2025-11-05,100000,100000,100000,100000,100000,99803
2025-11-06,100000,100000,100000,100000,100000,100396
2025-11-07,100000,100000,100000,100000,100000,100388
2025-11-10,100000,100000,100000,100000,100000,101397
2025-11-11,100000,100000,100000,100000,100000,101302
2025-11-12,100000,100000,100000,100000,100000,100989
2025-11-13,100000,100000,100000,100000,100000,101855
2025-11-14,100213,99797,99913,99415,99895,101151
2025-11-17,100478,99495,98997,98804,99063,101182
2025-11-18,96497,97240,98269,97214,98251,100057
2025-11-19,94605,97047,98405,97148,98338,99606
2025-11-20,92399,95637,99053,96972,98887,99004
2025-11-21,88962,93444,97176,95021,96766,96384
2025-11-24,86960,93318,96779,94426,96984,96999
2025-11-25,88522,93799,97479,95176,97461,97651
2025-11-26,87823,93007,97212,94848,96812,97452
2025-11-27,89235,93371,97543,95270,96930,97528
2025-11-28,88813,93361,97164,94839,97058,98206
2025-12-01,88332,93983,98288,95828,97605,98790
2025-12-02,88119,94891,98611,96521,97813,98274
2025-12-03,86416,94783,98272,96087,98342,97753
2025-12-04,86249,94014,97872,95448,98125,97226
2025-12-05,88144,94677,97228,95207,98425,98379
2025-12-08,89005,94698,97265,94929,97896,98517
2025-12-09,88820,94069,96731,94630,96946,97870
2025-12-10,88861,94346,96369,94886,97070,98155
2025-12-11,87503,92940,96202,93934,95855,97275
2025-12-12,89142,92862,96115,93558,95065,97703
2025-12-15,90294,93450,96203,94061,95529,97854
2025-12-16,90897,92183,95796,93369,95569,96697
2025-12-17,90969,92563,95999,93963,95544,97488
2025-12-18,91843,92600,97250,94680,96012,97593
2025-12-19,92664,92902,97309,94626,96211,98540
2025-12-22,92919,92995,96629,93874,96117,98967
2025-12-23,92206,92730,96761,94066,95810,98450
2025-12-24,93355,93216,96832,94022,96230,99184
2025-12-25,93619,93424,96871,93985,96541,100102
2025-12-26,94999,93894,96687,94462,96258,100410
2025-12-29,92684,91971,97328,93167,96311,100019
2025-12-30,90723,92000,96960,92879,96069,99693
2025-12-31,91316,91649,97024,92438,96445,99842
