,baseline,extended,value,rec,mkt_filter,market,mkt_timing_20,mkt_timing_60
2025-10-09,100000,100000,100000,100000,100000,100000,,
2025-10-10,100000,100000,100000,100000,100000,98189,,
2025-10-13,100000,100000,100000,100000,100000,97942,,
2025-10-14,100000,100000,100000,100000,100000,95591,,
2025-10-15,100000,100000,100000,100000,100000,97136,,
2025-10-16,100000,100000,100000,100000,100000,96287,,
2025-10-17,100000,100000,100000,100000,100000,93457,,
2025-10-20,100000,100000,100000,100000,100000,94615,,
2025-10-21,100000,100000,100000,100000,100000,96356,,
2025-10-22,100000,100000,100000,100000,100000,95999,,
2025-10-23,100000,100000,100000,100000,100000,95874,,
2025-10-24,100000,100000,100000,100000,100000,97671,,
2025-10-27,100000,100000,100000,100000,100000,98882,,
2025-10-28,100000,100000,100000,100000,100000,98768,,
2025-10-29,100000,100000,100000,100000,100000,99441,,
2025-10-30,100000,100000,100000,100000,100000,98000,,
2025-10-31,100000,100000,100000,100000,100000,98218,,
2025-11-03,100000,100000,100000,100000,100000,98519,,
2025-11-04,100000,100000,100000,100000,100000,97175,,
2025-11-05,100000,100000,100000,100000,100000,97545,,
2025-11-06,100000,100000,100000,100000,100000,98795,,
2025-11-07,100000,100000,100000,100000,100000,98201,,
2025-11-10,100000,100000,100000,100000,100000,98456,,
2025-11-11,100000,100000,100000,100000,100000,98181,,
2025-11-12,100000,100000,100000,100000,100000,97717,,
2025-11-13,100000,100000,100000,100000,100000,98865,101105,100000
2025-11-14,100580,101172,100124,100591,100373,97781,100712,100000
2025-11-17,104961,101148,99429,101468,100313,97893,100946,100000
2025-11-18,100702,100259,98659,100449,99144,97110,99838,100000
2025-11-19,99494,100255,98994,99911,99719,96159,99838,100000
2025-11-20,97114,99455,99991,100397,98805,95309,99838,100000
2025-11-21,93586,96116,97957,97313,95155,91799,99838,100000
2025-11-24,93221,95773,97525,96541,94728,93257,99838,100000
2025-11-25,93390,96787,98452,97815,95641,94718,99838,100000
2025-11-26,90502,96314,97997,96825,95193,94789,99838,100000
2025-11-27,89637,96787,98138,97181,95336,95052,99838,100000
2025-11-28,88984,96802,97617,97225,94813,96110,99838,100000
2025-12-01,90483,97048,98587,97781,95747,96682,100464,100000
2025-12-02,90234,97243,98599,98406,95754,95744,100464,100000
2025-12-03,88806,97056,98256,98549,95418,95008,100464,100000
2025-12-04,87153,96466,98004,98352,95183,94823,100464,100000
2025-12-05,90683,96782,97538,98095,94731,96475,100464,100000
2025-12-08,93064,96856,97515,97868,94712,98003,101402,100000
2025-12-09,93117,96158,96579,97424,93832,97711,100745,100000
2025-12-10,91641,96583,96311,97643,93567,98008,100837,100000
2025-12-11,89053,95603,96274,96987,93522,96753,100837,100000
2025-12-12,89940,95046,96030,96961,92717,97534,100837,100000
2025-12-15,90315,95180,96402,97665,93238,96544,100837,100000
2025-12-16,89519,93294,95832,96660,91388,95019,100837,100000
2025-12-17,86829,92626,96008,97365,90863,97124,100837,100000
2025-12-18,88702,93098,96983,98513,91693,96780,100837,100000
2025-12-19,89883,93689,97134,98952,91837,97565,102285,100000
2025-12-22,89619,93021,96621,98560,91289,98659,102945,100000
2025-12-23,87467,92459,96581,99144,90598,98777,102438,100000
2025-12-24,89253,93192,96656,99488,90785,99995,103713,100000
2025-12-25,91331,93766,96896,99667,91201,100997,104742,100000
2025-12-26,92476,94307,96646,100398,92427,100808,104727,100000
2025-12-29,92430,92292,96765,97813,89433,100909,104577,100000
2025-12-30,90919,92209,96177,97465,88604,101068,104339,100000
2025-12-31,90577,91832,96222,97467,88782,101000,104484,100138
2026-01-05,89918,91340,96363,98051,88616,103460,106242,101824
2026-01-06,91564,92838,96914,99072,89799,104720,107573,103100
2026-01-07,91929,93235,96616,98681,90105,105670,107874,103388
2026-01-08,92903,93427,96219,98737,90092,106435,109019,104485
2026-01-09,93951,95344,96146,99822,92422,108077,110518,105922
2026-01-12,97166,96762,96383,100250,93676,110467,112857,108164
2026-01-13,95816,94665,96664,98210,91842,108568,111573,106933
2026-01-14,95469,94690,95433,97821,91839,109613,112311,107640
2026-01-15,92431,92925,94919,96457,90037,109457,111898,107244
2026-01-16,90126,90740,94210,94718,89114,110274,111891,107238
2026-01-19,89685,90971,94025,96639,91108,110719,113005,108306
