,baseline,extended,value,rec,value_rps,mkt_filter,market,mkt_timing_20,mkt_timing_60,mkt_timing_dual
2026-02-24,100000,100000,100000,100000,100000,100000,100000,,,
2026-02-25,100000,100000,100000,100000,100000,100000,101005,,,
2026-02-26,100000,100000,100000,100000,100000,100000,101959,,,
2026-02-27,100000,100000,100000,100000,100000,100000,102361,,,
2026-03-02,100000,100000,100000,100000,100000,100000,101142,,,
2026-03-03,100000,100000,100000,100000,100000,100000,97005,,,
2026-03-04,100000,100000,100000,100000,100000,100000,96537,,,
2026-03-05,100000,100000,100000,100000,100000,100000,97721,,,
2026-03-06,100000,100000,100000,100000,100000,100000,98941,,,
2026-03-09,100000,100000,100000,100000,100000,100000,97791,,,
2026-03-10,100000,100000,100000,100000,100000,100000,100445,,,
2026-03-11,100000,100000,100000,100000,100000,100000,100038,,,
2026-03-12,100000,100000,100000,100000,100000,100000,98958,,,
2026-03-13,100000,100000,100000,100000,100000,100000,97812,,,
2026-03-16,100000,100000,100000,100000,100000,100000,98282,,,
2026-03-17,100000,100000,100000,100000,100000,100000,95909,,,
2026-03-18,100000,100000,100000,100000,100000,100000,97530,,,
2026-03-19,100000,100000,100000,100000,100000,100000,95180,,,
2026-03-20,100000,100000,100000,100000,100000,100000,93650,,,
2026-03-23,100000,100000,100000,100000,100000,100000,88872,,,
2026-03-24,100000,100000,100000,100000,100000,100000,91627,,,
2026-03-25,100000,100000,100000,100000,100000,100000,93647,,,
2026-03-26,100000,100000,100000,100000,100000,100000,92140,,,
2026-03-27,100000,100000,100000,100000,100000,100000,93448,,,
2026-03-30,100000,100000,100000,100000,100000,100000,93679,,,
2026-03-31,100000,100000,100000,100000,100000,100000,91830,100000,100000,100000
2026-04-01,98961,98956,99358,98967,99358,99358,94231,100000,100000,100000
2026-04-02,101071,99343,99119,98825,99119,99119,92391,100000,100000,100000
2026-04-03,100492,97088,97956,96936,97956,97956,91472,100000,100000,100000
2026-04-07,100836,98054,97325,97538,97325,97325,92327,100000,100000,100000
2026-04-08,100783,99150,98932,99101,98932,98932,96873,103895,100000,100000
2026-04-09,99078,97056,97699,98374,97699,97841,96386,102808,100000,100000
2026-04-10,97657,95964,97814,98274,97814,97119,97466,103728,100000,100000
2026-04-13,97633,94023,97493,96730,97493,95305,97737,103930,100000,100000
2026-04-14,97506,94726,98197,97141,98197,95616,99302,104981,100000,100000
2026-04-15,97397,96311,98651,97987,98651,96672,99135,104614,100000,100000
2026-04-16,97086,95752,98411,98038,98411,96471,101056,106151,100000,100000
2026-04-17,98258,95963,98158,98247,98158,96607,101942,106313,100000,100000
2026-04-20,97642,96080,97978,98222,97978,96870,102663,107121,100000,100000
2026-04-21,96724,95211,98277,98483,98277,96678,102553,106902,100000,100000
2026-04-22,96457,96282,98066,98184,98066,97166,103898,107462,100000,100000
2026-04-23,96305,96561,99221,98802,99221,97934,102143,106270,100000,100000
2026-04-24,95508,95408,98316,96436,98316,96622,102264,105805,100000,100000
2026-04-27,94681,94596,97825,95845,97825,95820,103466,106679,100000,100000
2026-04-28,95775,94171,97766,96133,97766,95344,102241,105637,100000,100000
2026-04-29,96278,95480,98494,97921,98494,96516,103474,106976,100000,100000
2026-04-30,94992,95380,97435,97504,97435,97104,104664,107384,100000,100000
2026-05-06,96167,95915,96960,97929,96960,98053,106964,108987,100000,100000
2026-05-07,96165,94247,96906,97029,96906,97632,109244,110257,100000,100000
2026-05-08,95601,93837,96736,97103,96736,96942,109433,111258,100000,100000
2026-05-11,96176,94121,96832,97338,96832,97666,111576,112346,100000,100000
2026-05-12,95923,94534,96359,98345,96359,98441,111020,111270,100000,100000
2026-05-13,96226,95083,96224,99812,96224,99573,112788,112287,100000,100000
2026-05-14,95386,93052,95935,97474,95935,96304,110689,110347,100000,100000
2026-05-15,95249,93204,95196,96969,95196,96048,110264,109722,100000,100000
2026-05-18,96014,92624,94451,95982,94451,95071,110665,109816,100000,100000
2026-05-19,97845,94055,94979,97035,94979,96763,111765,110809,100000,100000
2026-05-20,96452,92518,94332,95090,94332,93583,112687,110132,100000,100000
2026-05-21,94941,90862,93924,94752,93924,93148,108694,110132,100000,100000
2026-05-22,94718,91953,93704,94722,93704,92980,111605,110132,101716,100000
2026-05-25,95008,92662,93580,95631,93580,94316,112847,110132,101733,100000
2026-05-26,95069,92585,93823,95850,93823,94857,110859,110132,100356,100000
2026-05-27,95368,90982,93393,94635,93393,93732,108722,110132,100356,100000
2026-05-28,96310,90268,92759,93768,92759,92761,109730,110132,100356,100000
2026-05-29,95957,89576,94313,94876,94313,92617,105567,110132,100356,100000
